     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       200,         1,         0,   0.001,pymatching,1df7d136ed8b6e3825ee7ef9bf64a49b631f762df8bef45539041560c44e1751,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0032500000000000003,""p2"":0.005,""pm"":0,""psr"":null}",
       600,         5,         0,   0.001,pymatching,1df7d136ed8b6e3825ee7ef9bf64a49b631f762df8bef45539041560c44e1751,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0032500000000000003,""p2"":0.005,""pm"":0,""psr"":null}",
     16286,        93,         0,   0.008,pymatching,eb068d299e5161cc6e669cea115ebd5bcc2443e23b36bddb4253ae3efd1afcde,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0030000000000000005,""p2"":0.005,""pm"":0,""psr"":null}",
      1800,        11,         0,   0.002,pymatching,1df7d136ed8b6e3825ee7ef9bf64a49b631f762df8bef45539041560c44e1751,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0032500000000000003,""p2"":0.005,""pm"":0,""psr"":null}",
      1800,         9,         0,   0.002,pymatching,1df7d136ed8b6e3825ee7ef9bf64a49b631f762df8bef45539041560c44e1751,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0032500000000000003,""p2"":0.005,""pm"":0,""psr"":null}",
      5400,        31,         0,   0.003,pymatching,1df7d136ed8b6e3825ee7ef9bf64a49b631f762df8bef45539041560c44e1751,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0032500000000000003,""p2"":0.005,""pm"":0,""psr"":null}",
      9000,        44,         0,   0.005,pymatching,1df7d136ed8b6e3825ee7ef9bf64a49b631f762df8bef45539041560c44e1751,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0032500000000000003,""p2"":0.005,""pm"":0,""psr"":null}",
     19800,        99,         0,   0.010,pymatching,1df7d136ed8b6e3825ee7ef9bf64a49b631f762df8bef45539041560c44e1751,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0032500000000000003,""p2"":0.005,""pm"":0,""psr"":null}",
     37800,       199,         0,   0.018,pymatching,1df7d136ed8b6e3825ee7ef9bf64a49b631f762df8bef45539041560c44e1751,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0032500000000000003,""p2"":0.005,""pm"":0,""psr"":null}",
     77400,       442,         0,   0.037,pymatching,1df7d136ed8b6e3825ee7ef9bf64a49b631f762df8bef45539041560c44e1751,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0032500000000000003,""p2"":0.005,""pm"":0,""psr"":null}",
    153000,       831,         0,   0.075,pymatching,1df7d136ed8b6e3825ee7ef9bf64a49b631f762df8bef45539041560c44e1751,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0032500000000000003,""p2"":0.005,""pm"":0,""psr"":null}",
    534600,      2658,         0,   0.238,pymatching,eb068d299e5161cc6e669cea115ebd5bcc2443e23b36bddb4253ae3efd1afcde,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0030000000000000005,""p2"":0.005,""pm"":0,""psr"":null}",
