     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
     16200,       215,      3937,   0.015,pymatching,c387ab3e543f4459d60ae9b31656afae700fa9070f2dab4998ac4d6ce0bf06e4,"{""d_final"":5,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
    145800,      2569,     35148,   0.555,pymatching,d72d27f79472f829a55d9b95f3a72c6d3186ce08b460783bad272d311149e3d9,"{""d_final"":17,""d_init"":3,""encoder"":""local"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
     48600,       720,     11644,   0.040,pymatching,c387ab3e543f4459d60ae9b31656afae700fa9070f2dab4998ac4d6ce0bf06e4,"{""d_final"":5,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
     81000,      1207,     19624,   0.066,pymatching,c387ab3e543f4459d60ae9b31656afae700fa9070f2dab4998ac4d6ce0bf06e4,"{""d_final"":5,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
     72900,      1010,     17439,   0.059,pymatching,c387ab3e543f4459d60ae9b31656afae700fa9070f2dab4998ac4d6ce0bf06e4,"{""d_final"":5,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
      9457,       131,      2226,   0.010,pymatching,c387ab3e543f4459d60ae9b31656afae700fa9070f2dab4998ac4d6ce0bf06e4,"{""d_final"":5,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
       844,        17,       228,   0.002,pymatching,c387ab3e543f4459d60ae9b31656afae700fa9070f2dab4998ac4d6ce0bf06e4,"{""d_final"":5,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
       100,         3,        28,   0.005,pymatching,2c3243bd062485344fe515e253b72de927a07eb1d6123c982829a95f2aca36b3,"{""d_final"":9,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
       200,         2,        59,   0.006,pymatching,2c3243bd062485344fe515e253b72de927a07eb1d6123c982829a95f2aca36b3,"{""d_final"":9,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
       600,         6,       155,   0.007,pymatching,2c3243bd062485344fe515e253b72de927a07eb1d6123c982829a95f2aca36b3,"{""d_final"":9,""d_init"":3,""encoder"":""normal2"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
